Symbol,Industry
IDFCFIRSTB,Financial Services
IDFC,Financial Services
IFBIND,Consumer Durables
IIFL,Financial Services
IRB,Construction
ITC,Fast Moving Consumer Goods
ITI,Telecommunication
INDIACEM,Construction Materials
IBULHSGFIN,Financial Services
IBREALEST,Realty
INDIAMART,Consumer Services
INDIANB,Financial Services
IEX,Financial Services
INDHOTEL,Consumer Services
IOC,Oil Gas & Consumable Fuels
IOB,Financial Services
IRCTC,Consumer Services
IRFC,Financial Services
INDIGOPNTS,Consumer Durables
IGL,Oil Gas & Consumable Fuels
INDUSTOWER,Telecommunication
INDUSINDBK,Financial Services
INFIBEAM,Financial Services
NAUKRI,Consumer Services
INFY,Information Technology
INGERRAND,Capital Goods
INTELLECT,Information Technology
INDIGO,Services
IPCALAB,Healthcare
JBCHEPHARM,Healthcare
JKCEMENT,Construction Materials
JBMA,Automobile and Auto Components
JKLAKSHMI,Construction Materials
JKPAPER,Forest Materials
JMFINANCIL,Financial Services
JSWENERGY,Power
JSWSTEEL,Metals & Mining
JAMNAAUTO,Automobile and Auto Components
JSL,Metals & Mining
JINDALSTEL,Metals & Mining
JINDWORLD,Textiles
JUBLFOOD,Consumer Services
JUBLINGREA,Chemicals
JUBLPHARMA,Healthcare
JUSTDIAL,Consumer Services
JYOTHYLAB,Fast Moving Consumer Goods
KPRMILL,Textiles
KEI,Capital Goods
KNRCON,Construction
KPITTECH,Information Technology
KRBL,Fast Moving Consumer Goods
KSB,Capital Goods
KAJARIACER,Consumer Durables
KPIL,Construction
KALYANKJIL,Consumer Durables
KANSAINER,Consumer Durables
KARURVYSYA,Financial Services
KEC,Capital Goods
KENNAMET,Capital Goods
RUSTOMJEE,Realty
KFINTECH,Financial Services
KOTAKBANK,Financial Services
KIMS,Healthcare
L&TFH,Financial Services
LTTS,Information Technology
LICHSGFIN,Financial Services
LTIM,Information Technology
LAXMIMACH,Capital Goods
LT,Construction
LATENTVIEW,Information Technology
LAURUSLABS,Healthcare
LXCHEM,Chemicals
LEMONTREE,Consumer Services
LICI,Financial Services
LINDEINDIA,Chemicals
LUPIN,Healthcare
LUXIND,Textiles
MMTC,Services
MRF,Automobile and Auto Components
MTARTECH,Capital Goods
LODHA,Realty
MGL,Oil Gas & Consumable Fuels
M&MFIN,Financial Services
M&M,Automobile and Auto Components
MHRIL,Consumer Services
MAHLIFE,Realty
MAHLOG,Services
MANAPPURAM,Financial Services
MRPL,Oil Gas & Consumable Fuels
MARICO,Fast Moving Consumer Goods
MARUTI,Automobile and Auto Components
MASTEK,Information Technology
MFSL,Financial Services
MAXHEALTH,Healthcare
MAZDOCK,Capital Goods
MEDPLUS,Consumer Services
MFL,Chemicals
METROBRAND,Consumer Durables
METROPOLIS,Healthcare
MSUMI,Automobile and Auto Components
MOTILALOFS,Financial Services
MPHASIS,Information Technology
MCX,Financial Services
MUTHOOTFIN,Financial Services
NATCOPHARM,Healthcare
NBCC,Construction
NCC,Construction
NHPC,Power
NLCINDIA,Power
NMDC,Metals & Mining
NSLNISP,Metals & Mining
NOCIL,Chemicals
NTPC,Power
NH,Healthcare
NATIONALUM,Metals & Mining
NAVINFLUOR,Chemicals
NAZARA,Media Entertainment & Publication
NESTLEIND,Fast Moving Consumer Goods
NETWORK18,Media Entertainment & Publication
NAM-INDIA,Financial Services
NUVOCO,Construction Materials
